Indonesian,Javanese
Ibu Rumah Tangga harus pandai memilih jenis makanan yang akan dimasak agar keluarga mendapatkan gizi yang seimbang dan sesuai dengan kebutuhan.,Ibune Wongsor mesti pandhe milih jenis manganan sing bakal dimasak supaya keluarga bisa mlebu dhukungan kang pas lan cocog karo keperluane.
Anak-anak sekolah diimbau untuk tetap memperhatikan protokol kesehatan agar terhindar dari penularan virus corona.,Anak-anak sekolah diimbau kanggo tetep ngasorake protokol sehat supaya ora kepenah kena penularan virus corona.
Sore itu kami berjalan-jalan menikmati indahnya Danau Toba yang sangat memukau.,Sonten iki kami dolan-dolan mlebuwi keindahan Danau Toba sing amat-matangan.
"Selain itu, kebijakan tersebut diharapkan dapat memberikan manfaat positif bagi seluruh lapisan masyarakat.","Nuntun iku, kebijakan iki diwenehi prasaja supaya bisa nampa manfaat apik banget kanggo kabeh lapisane masyarakat."
"Setelah itu, kita perlu memastikan bahwa semua peralatan dan perlengkapan sudah siap. Kemudian, kita harus membentuk tim yang terdiri dari ahli di bidangnya masing-masing.","Sawise iku, kita perlu ngenténi énggal-énggal piranti lan perlèngkapan wis siap. Sawetara ingkang liyané, kita kudu ngadamel tim sing kepiyèh saka praktisi ing bidhang mènapèkè."
"Ibu selalu mengingatkan anak-anaknya untuk selalu berdoa sebelum tidur dan bangun pagi-pagi untuk sarapan. Dia juga mengajarkan anak-anaknya untuk selalu jujur, berbicara sopan, dan menghargai orang lain.","Ibu selalu nedelakake bocah-bocahne kanggo mbarengi doa sadurunge turu lan moro-moro mbangun maning sarapan. Dheweke uga ngajari bocah-bocahne kanggo selalu mungsuh, ngomong kemenangan lan nglakoni carane nyuwun pangestu marang wong liya."
"Saya bisa mengerjakan tugas ini dengan cepat, karena saya sudah mempersiapkan terlebih dahulu dan fokus pada tugas.","Aku bisa nglakoni tugasku kangge cepet, munggah-munggah njangkepake kanggo ningali lan fokus nemeni tugasku."
Perlu dibuat strategi agar pengelolaan sampah bisa efektif dan dapat dikembangkan lagi ke depan.,Kudu digawé strategi supaya pengelolaan sampah bisa efektif lan bisa dikembangno maning marang depan.
Di ruang tamu itu ada sofa berwarna hijau dan meja kaca yang dipenuhi berbagai macam buku.,Ing gedhong tamu ana sofa warna ijo lan mejeng kaca sing ana bukune bebrapa macam.
Bulan ini akan menjadi bulan yang sibuk untuk saya karena banyak deadline yang harus dicapai.,Sasi iki bakal jadi sasi sing padhet mrene kula amarga luwih ora adheg deadline sing kudu dilunasi.
"Ayah saya sangat suka berkebun, ia selalu menghabiskan waktu di taman untuk merawat tanaman dan bunga-bunga yang ada.","Bapakku pisan seneng nglakuaken kebun, kanggone tansah ngrameaken wektu neng taman kanggo ngerawat tanaman lan kembang sane ana."
"Selain itu, dia juga senang bersepeda di taman setiap minggu.","Setunggalipun, dheweke uga seneng ngetrapak sepeda ing taman saben pelet."
"Sekarang ini, banyak orang mengandalkan teknologi untuk memudahkan pekerjaan mereka.","Saiki iki, wong padha ngandheli teknologi kanggo nglebokno kerjoanipun."
Apa yang kamu lakukan kemarin?,Apa sing kowe gawe wingi?
"Pada saat itu, petir menyambar dan angin berhembus kencang.","Ing wengi niku, sambaran kilat tembe dhewe lan angin brenti cilik."
"Selain itu, masalah ini harus diatasi dengan tindakan yang tepat dan cepat agar tidak menimbulkan dampak yang lebih buruk di masa depan.","Ing sampingan iku, problem kene mesthi diarani karo tindakan sing apik lan cepet supaya ora ngetokake dandhang sing luwih apik nalika orahe nanti."
Ibu guru memberikan tugas berupa membuat esai tentang lingkungan hidup kepada para siswanya.,Mbok guru kasih dalan tugas wungu sing ngerjake essey babagan lingkungan kanggo para siswane.
